service_date,unique_patients,non_hospital_ammount,unique_service_codes,total_racords,EMA_7,total_amount_net
2023-02-10,470,2815961.95,401,1674,3030915.4831192316,2942555.23
2023-02-11,427,2614987.6,363,1434,2945122.8673394234,2687745.02
2023-02-12,331,2109521.37,351,1308,2751708.8130045673,2171466.65
2023-02-13,484,2972951.07,440,1678,2841885.2347534252,3112414.5
2023-02-14,480,2797315.07,439,1793,2872069.208565069,2962621.13
2023-02-15,497,2886886.04,443,1788,2925112.5589238014,3084242.61
2023-02-16,498,3030799.24,432,1794,2994431.1191928512,3202386.8
2023-02-17,495,2846170.84,396,1612,2976768.804394638,2923781.86
2023-02-18,396,2401278.65,335,1349,2854444.4782959786,2487471.5
2023-02-19,320,1860580.45,308,1194,2630964.7637219834,1960525.62
2023-02-20,511,3044188.14,447,1842,2791941.8652914874,3274873.17
2023-02-21,511,2868388.06,388,1693,2855267.1064686156,3045242.83
2023-02-22,455,2614681.42,393,1445,2833761.3948514615,2769244.26
2023-02-23,275,1723683.27,326,1034,2576372.833638596,1804207.15
2023-02-24,287,1765516.13,333,1141,2400728.090228947,1873793.86
2023-02-25,298,1711830.24,286,1062,2250239.0976717104,1798772.12
2023-02-26,303,1885308.15,320,1187,2176334.850753783,1954622.11
2023-02-27,475,2739602.2,427,1736,2398860.320565337,3066436.73
2023-02-28,518,3092268.22,470,1952,2629586.7804240026,3321766.16
2023-03-01,476,2938962.1,413,1706,2739749.1478180015,3070236.25
2023-03-02,482,2905478.05,452,1774,2817808.943363501,3051988.33
2023-03-03,475,2773489.1,411,1561,2843874.7475226256,2922072.16
2023-03-04,424,2769637.75,421,1672,2852832.045641969,2879703.94
2023-03-05,338,2048005.85,377,1311,2678632.3792314767,2156033.38
2023-03-06,488,2893534.88,441,1761,2775192.9969236073,3064874.85
2023-03-07,519,3058684.94,458,1922,2908656.3326927056,3309046.34
2023-03-08,281,1615411.33,314,1056,2603509.3195195287,1688068.28
2023-03-09,496,3042814.76,435,1822,2764727.8171396465,3248383.31
2023-03-10,472,2780654.42,408,1592,2817231.6478547347,2974743.14
2023-03-11,430,2814181.04,449,1704,2845591.3358910508,2930670.4
2023-03-12,366,2108187.1,376,1473,2683494.851918288,2197205.4
2023-03-13,526,3091845.79,483,1904,2852447.121438716,3359303.93
2023-03-14,538,3033812.39,539,2065,3045190.566079037,3623420.9
2023-03-15,538,3192365.47,540,2089,3186975.622059278,3612330.79
2023-03-16,535,3326234.43,522,2227,3318398.9265444586,3712668.84
2023-03-17,533,3001167.1,499,1932,3324533.704908344,3342938.04
2023-03-18,467,2734255.7,410,1674,3207971.278681258,2858284.0
2023-03-19,360,2185695.8,376,1396,2991626.071510943,2342590.45
2023-03-20,551,3486369.87,470,2010,3168527.6311332076,3699232.31
2023-03-21,545,3190139.83,443,1931,3233089.183349906,3426773.84
2023-03-22,519,2837754.32,428,1766,3183378.5450124294,3034246.63
2023-03-23,518,2964497.3,382,1711,3156860.293759322,3077305.54
2023-03-24,532,3268333.77,442,1956,3219839.6178194913,3408777.59
2023-03-25,425,2614833.5,363,1417,3096017.0683646183,2724549.42
2023-03-26,324,1832124.5,316,1125,2792312.7437734636,1881199.77
2023-03-27,528,3230061.94,439,1836,2927909.3553300975,3334699.19
2023-03-28,534,3112284.41,424,1807,3015973.088997573,3280164.29
2023-03-29,531,3330294.81,431,1935,3131539.3967481796,3478238.32
2023-03-30,524,3079873.97,449,1777,3169331.330061135,3282707.13
2023-03-31,556,3229997.14,438,2017,3240621.360045851,3454491.45
2023-04-01,415,2416319.61,349,1497,3051714.897534388,2484995.51
2023-04-02,336,2146232.91,354,1425,2836590.568150791,2191217.58
2023-04-03,555,3257072.33,412,1883,2963275.4711130927,3343330.18
2023-04-04,551,3134664.71,468,1931,3086878.1633348195,3457686.24
2023-04-05,561,3240028.37,464,2074,3175069.4650011146,3439643.37
2023-04-06,549,3465977.86,484,2077,3321380.961250836,3760315.45
2023-04-07,544,3053258.62,419,1869,3297758.898438127,3226892.71
2023-04-08,454,2673957.06,386,1537,3164060.2788285953,2762964.42
2023-04-09,333,1960100.99,355,1200,2883815.789121446,2043082.32
2023-04-10,507,3011277.41,472,1881,2995111.9393410846,3329000.39
2023-04-11,495,2700341.64,435,1596,2980969.6245058132,2938542.68
2023-04-12,514,2834353.1,451,1844,3017930.69337936,3128813.9
2023-04-13,541,3133339.9,457,1919,3132132.3950345195,3474737.5
2023-04-14,501,3038742.76,486,2050,3189471.15127589,3361487.42
2023-04-15,405,2558417.6,397,1471,3065582.7509569167,2693917.55
2023-04-16,291,1577667.64,344,1081,2705434.6432176875,1624990.32
2023-04-17,524,3182077.65,455,1735,2874000.867413265,3379699.54
2023-04-18,517,2799493.24,471,1710,2930243.128059949,3098969.91
2023-04-19,519,2925689.38,480,1844,3000330.061044961,3210590.86
2023-04-20,486,2825738.09,452,1783,3038068.338283721,3151283.17
2023-04-21,481,2687241.77,460,1777,3021760.8512127907,2972838.39
2023-04-22,373,2168569.39,384,1387,2842418.9909095927,2304393.41
2023-04-23,346,1961365.72,388,1261,2647023.1056821942,2060835.45
2023-04-24,535,3018723.1,408,1761,2781885.7792616454,3186473.8
2023-04-25,530,2988570.52,483,1941,2894135.554446234,3230884.88
2023-04-26,502,2867368.14,461,1864,2948641.980834675,3112161.26
2023-04-27,479,2519930.89,431,1536,2894153.5156260063,2730688.12
2023-04-28,459,2401819.44,429,1506,2840345.2017195043,2678920.26
2023-04-29,265,1490447.88,280,969,2515842.716289628,1542335.26
2023-04-30,219,1170826.09,239,664,2189684.674717221,1211210.55
2023-05-01,237,1376524.54,263,793,1996875.2110379157,1418446.82
2023-05-02,400,2423327.04,442,1550,2148418.285778437,2603047.51
2023-05-03,426,2448779.64,464,1697,2281849.5343338274,2682143.28
2023-05-04,442,2530845.98,468,1707,2413063.5007503703,2806705.4
2023-05-05,386,2122388.04,380,1341,2392591.180562778,2331174.22
2023-05-06,250,1579882.48,299,1001,2202011.317922083,1630271.73
2023-05-07,193,1060889.13,248,642,1924571.4634415624,1092251.9
2023-05-08,243,1295215.41,306,781,1792964.9150811718,1398145.27
2023-05-09,204,1165766.63,276,823,1650823.686310879,1224400.0
2023-05-10,420,2307570.36,447,1416,1878812.7447331592,2562779.92
2023-05-11,434,2523793.51,470,1753,2139459.2460498693,2921398.75
2023-05-12,446,2533214.31,434,1709,2294933.5920374016,2761356.63
2023-05-13,336,2045372.39,315,1183,2246096.636528051,2099585.77
2023-05-14,262,1552324.28,289,970,2090829.8698960382,1625029.57
2023-05-15,428,2523708.77,441,1578,2246960.5274220286,2715352.5
2023-05-16,427,2551783.77,423,1517,2393151.5605665217,2831724.66
2023-05-17,457,2572937.42,444,1650,2530512.442924891,2942595.09
2023-05-18,462,2505431.73,442,1723,2615922.074693668,2872150.97
2023-05-19,438,2272448.71,442,1470,2612263.863520251,2601289.23
2023-05-20,342,2067154.9,411,1220,2518201.087640188,2236012.76
2023-05-21,267,1411869.07,308,968,2270379.6182301412,1526915.21
2023-05-22,449,2580703.49,402,1518,2398527.086172606,2782969.49
2023-05-23,502,2809540.66,431,1751,2549921.3821294545,3004104.27
2023-05-24,475,2781699.98,465,1673,2675014.1515970905,3050292.46
2023-05-25,472,2544749.62,416,1598,2710915.301197818,2818618.75
2023-05-26,452,2534391.45,424,1455,2724981.0758983633,2767178.4
2023-05-27,367,2211011.66,345,1235,2604803.6969237723,2244271.56
2023-05-28,259,1490682.26,269,921,2333086.740192829,1517935.87
2023-05-29,480,2903879.97,416,1578,2488029.267644622,2952856.85
2023-05-30,480,2608396.33,364,1465,2527513.743233466,2645967.17
2023-05-31,480,2927125.85,389,1608,2661740.6424250994,3064421.34
2023-06-01,458,2637319.57,430,1633,2716462.7618188243,2880629.12
2023-06-02,461,2701445.67,435,1674,2790894.858864118,3014191.15
2023-06-03,370,2385367.03,434,1432,2711121.304148088,2471800.64
2023-06-04,281,1424977.34,288,922,2403543.450611066,1480809.89
2023-06-05,450,2641319.44,400,1649,2517195.4179582996,2858151.32
2023-06-06,449,2711182.33,443,1886,2637937.108468725,3000162.18
2023-06-07,448,2646202.66,456,1586,2709389.5113515435,2923746.72
2023-06-08,443,2441266.35,446,1605,2712408.8560136575,2721466.89
2023-06-09,409,2329538.26,433,1538,2673412.9120102427,2556425.08
2023-06-10,315,2024655.98,389,1262,2545144.479007682,2160339.18
2023-06-11,252,1375637.83,284,889,2276364.2367557613,1470023.51
2023-06-12,281,1625381.36,308,978,2133722.187566821,1705796.04
2023-06-13,483,2806977.35,458,1667,2356717.353175116,3025702.85
2023-06-14,512,3057648.85,443,1791,2579882.419881337,3249377.62
2023-06-15,511,2891962.48,497,1836,2726283.292411003,3165485.91
2023-06-16,449,2549147.01,418,1646,2767757.176808252,2892178.83
2023-06-17,334,2088759.8,380,1232,2623247.402606189,2189718.08
2023-06-18,249,1340036.8,300,900,2324956.459454641,1430083.63
2023-06-19,450,2591921.04,432,1524,2439408.7545909807,2782765.64
2023-06-20,476,2851618.47,466,1777,2599400.6284432355,3079376.25
2023-06-21,458,2515602.05,414,1525,2631844.1163324267,2729174.58
2023-06-22,468,2918558.44,465,1866,2775874.7897493197,3207966.81
2023-06-23,429,2564377.61,410,1516,2767975.0973119894,2744276.02
2023-06-24,306,1952281.56,361,1217,2601547.547983992,2102264.9
2023-06-25,237,1391953.22,328,911,2341736.133487994,1562301.89
2023-06-26,463,2621716.02,386,1498,2450847.3551159953,2778181.02
2023-06-27,469,2858441.6,434,1656,2605222.2288369965,3068346.85
2023-06-28,489,2648721.75,418,1523,2681269.1466277475,2909409.9
2023-06-29,461,2633366.28,425,1641,2716580.59747081,2822514.95
2023-06-30,452,2498531.06,417,1583,2717405.0081031076,2719878.24
2023-07-01,297,2040238.43,333,1232,2573817.4260773305,2143054.68
2023-07-02,272,1731682.73,351,1159,2396101.622057998,1862954.21
2023-07-03,437,2419067.62,428,1550,2448347.4440434985,2605084.91
2023-07-04,458,2711094.58,472,1976,2607254.143032624,3083974.24
2023-07-05,436,2525205.58,424,1583,2656137.512274468,2802787.62
2023-07-06,440,2292795.02,411,1407,2630211.1617058506,2552432.11
2023-07-07,400,2399671.64,383,1412,2607103.318779388,2537779.79
2023-07-08,312,2018240.2,305,1063,2474134.011584541,2075226.09
2023-07-09,239,1571153.83,314,870,2261915.9086884055,1625261.6
2023-07-10,415,2427084.82,411,1574,2373380.4040163043,2707773.89
2023-07-11,451,2635120.14,447,1773,2493996.018012228,2855842.86
2023-07-12,436,2828511.01,469,1758,2638257.526009171,3071042.05
2023-07-13,440,2573885.08,454,1586,2693783.657006878,2860362.05
2023-07-14,419,2535983.32,430,1480,2709039.4877551585,2754806.98
2023-07-15,346,2233265.98,359,1302,2616363.403316369,2338335.15
2023-07-16,255,1540389.86,298,1029,2362973.1099872766,1602802.23
2023-07-17,429,2821348.94,392,1598,2510265.9349904577,2952144.41
2023-07-18,446,2992175.6,427,1868,2671846.811242843,3156589.44
2023-07-19,449,2502938.12,412,1447,2658908.228432132,2620092.48
2023-07-20,440,2716459.64,448,1808,2728649.546324099,2937873.5
2023-07-21,429,2610051.27,450,1587,2739321.417243074,2771337.03
2023-07-22,317,1795169.42,385,1209,2542908.5229323055,1953669.84
2023-07-23,254,1479860.48,330,980,2306528.597199229,1597388.82
2023-07-24,439,2473891.49,406,1487,2401408.7003994216,2686049.01
2023-07-25,494,2759540.17,409,1611,2533628.7352995663,2930288.84
2023-07-26,433,2478660.42,384,1358,2564722.3839746746,2658003.33
2023-07-27,440,2684281.62,409,1509,2621721.465481006,2792718.71
2023-07-28,392,2194176.62,413,1520,2589785.7191107543,2493978.48
2023-07-29,353,2195493.51,389,1291,2531912.0693330658,2358291.12
2023-07-30,252,1312083.33,335,1016,2265134.8944997992,1464803.37
2023-07-31,387,2028100.97,372,1313,2259247.9033748494,2241586.93
2023-08-01,429,2647674.71,431,1580,2422050.830031137,2910459.61
2023-08-02,487,2947573.76,462,1724,2620422.2175233527,3215536.38
2023-08-03,451,2668729.74,456,1627,2687535.8881425145,2888876.9
2023-08-04,364,2236025.97,360,1287,2599947.0836068857,2337180.67
2023-08-05,292,2035071.37,343,1121,2476159.8677051645,2104798.22
2023-08-06,264,1567857.29,305,870,2267689.2107788734,1642277.24
2023-08-07,421,2492175.66,412,1451,2369297.920584155,2674124.05
2023-08-08,465,2525300.36,448,1533,2464874.882938116,2751605.77
2023-08-09,457,2844768.73,477,1815,2631308.2447035867,3130608.33
2023-08-10,432,2482487.1,416,1610,2637985.05602769,2658015.49
2023-08-11,421,2396272.07,412,1388,2619448.139520767,2563837.39
2023-08-12,333,2221877.74,356,1253,2549956.4521405753,2341481.39
2023-08-13,260,1579945.25,292,913,2318089.5916054314,1622489.01
2023-08-14,430,2719395.57,397,1495,2447104.8862040737,2834150.77
2023-08-15,505,3087823.66,406,1719,2637624.722153055,3209184.23
2023-08-16,433,2523803.76,345,1324,2627907.591614791,2598756.2
2023-08-17,449,2539514.95,390,1594,2643832.1237110933,2691605.72
2023-08-18,464,3001209.4,458,1771,2795054.7477833196,3248722.62
2023-08-19,356,2162370.55,408,1468,2687438.7808374898,2364590.88
2023-08-20,263,1682830.75,328,1010,2462549.9431281174,1787883.43
2023-08-21,456,2745163.1,389,1591,2568586.282346088,2886695.3
2023-08-22,501,2942675.05,468,1818,2719919.731759566,3173920.08
2023-08-23,479,2853425.0,512,1821,2831181.0863196743,3164965.15
2023-08-24,451,2631269.01,461,1733,2847848.6872397554,2897851.49
2023-08-25,418,2295838.86,445,1439,2762809.597929816,2507692.33
2023-08-26,336,2299784.68,392,1358,2688304.933447362,2464790.94
2023-08-27,306,1878723.22,390,1141,2515729.772585521,1998004.29
2023-08-28,529,3014477.83,450,1723,2672027.599439141,3140921.08
2023-08-29,514,3103853.55,506,1888,2844788.5395793556,3363071.36
2023-08-30,481,2767851.33,460,1636,2857561.3446845165,2895879.76
2023-08-31,492,3015886.86,464,1712,2944351.266013387,3204721.03
2023-09-01,405,2182344.42,413,1415,2788375.3770100405,2320447.71
2023-09-02,327,1993151.33,337,1134,2602659.0002575302,2045509.87
2023-09-03,262,1590329.7,300,883,2360675.005193148,1634723.02
2023-09-04,470,2803613.63,413,1639,2528179.796394861,3030694.17
2023-09-05,479,2790850.98,450,1634,2646476.6872961456,3001367.36
2023-09-06,472,2770514.69,476,1833,2754743.562972109,3079544.19
2023-09-07,473,2851138.81,457,1651,2828912.3072290816,3051418.54
2023-09-08,447,2674201.03,473,1801,2861821.472921811,2960548.97
2023-09-09,399,2378747.3,441,1490,2784560.0146913584,2552775.64
2023-09-10,274,1537078.74,343,994,2495821.0085185184,1629603.99
2023-09-11,504,2667142.69,422,1561,2597193.4663888887,2901310.84
2023-09-12,525,3144563.84,476,1685,2781047.7047916665,3332610.42
2023-09-13,503,2892445.36,450,1817,2885569.4485937497,3199134.68
2023-09-14,490,2691292.18,478,1692,2887889.091445312,2894848.02
2023-09-15,476,2788999.84,415,1607,2897686.923583984,2927080.42
2023-09-16,355,2320096.03,377,1265,2771053.792687988,2391154.4
2023-09-17,294,1656343.72,326,1016,2512569.099515991,1737115.02
2023-09-18,506,3041335.71,482,1829,2690483.5246369927,3224226.8
2023-09-19,548,3322039.7,482,1949,2902430.1934777447,3538270.2
2023-09-20,506,2856086.96,497,1751,2926917.255108308,3000378.44
2023-09-21,499,2688865.75,500,1720,2953196.7038312308,3032035.05
2023-09-22,469,2787000.66,477,1664,2982331.6428734227,3069736.46
2023-09-23,324,1992721.4,338,1226,2750630.214655067,2055525.93
2023-09-24,305,1650371.89,301,981,2491441.2934912997,1713874.53
2023-09-25,488,2847633.92,464,1807,2662274.0501184748,3174772.32
2023-09-26,488,2892244.12,432,1629,2764787.532588856,3072327.98
2023-09-27,476,2664688.52,429,1609,2787002.3594416417,2853646.84
2023-09-28,504,3150033.27,495,1845,2933192.844581231,3371764.3
2023-09-29,480,2600208.19,419,1547,2899317.383435923,2797691.0
2023-09-30,398,2300604.45,352,1350,2772819.440076942,2393325.61
2023-10-01,297,1674770.77,358,1061,2520871.2625577063,1765026.73
2023-10-02,489,2860973.24,415,1523,2651693.88691828,3044161.76
2023-10-03,490,3221036.56,483,1882,2851224.6926887096,3449817.11
2023-10-04,555,3221333.66,474,1883,3006635.812016532,3472869.17
2023-10-05,482,2977534.92,431,1673,3037818.609012399,3131367.0
2023-10-06,486,2629098.29,396,1547,2974708.399259299,2785377.77
2023-10-07,355,2355482.17,402,1399,2846045.9119444746,2460058.45
2023-10-08,350,2127870.03,378,1308,2689825.1864583557,2221163.01
2023-10-09,468,2486765.21,402,1452,2685650.5398437665,2673126.6
2023-10-10,478,2782754.47,425,1640,2781038.7548828246,3067203.4
2023-10-11,511,3206780.28,480,1772,2924593.343662118,3355257.11
2023-10-12,462,2741675.76,442,1688,2933577.8277465883,2960531.28
2023-10-13,455,2678691.82,478,1612,2917002.188309941,2867275.27
2023-10-14,376,2448838.93,372,1366,2817297.8637324558,2518184.89
2023-10-15,322,1927567.69,334,1107,2604830.6127993413,1967428.86
2023-10-16,520,3124397.69,466,1822,2777358.894599506,3294943.74
2023-10-17,544,3378861.26,455,1891,2956641.0634496296,3494487.57
2023-10-18,495,3048341.08,475,1726,3031930.095087222,3257797.19
2023-10-19,499,3268790.7,417,1936,3113942.288815416,3359978.87
2023-10-20,524,3114968.04,388,1641,3133296.5166115616,3191359.2
2023-10-21,482,3078287.77,378,1563,3126638.2074586707,3106663.28
2023-10-22,331,1969992.21,341,1101,2843876.885594003,1995592.92
2023-10-23,541,3117292.73,531,2035,2988621.004195502,3422853.36
2023-10-24,498,2966556.61,387,1587,3003679.2731466265,3048854.08
2023-10-25,534,3086177.37,470,1907,3108493.94735997,3422937.97
2023-10-26,477,3027314.92,440,1656,3139134.218019977,3231055.03
2023-10-27,494,2734900.87,408,1638,3089145.133514983,2939177.88
2023-10-28,386,2533712.44,367,1415,2979662.4451362374,2651214.38
2023-10-29,318,1781724.41,340,1038,2696057.848852178,1845244.06
2023-10-30,485,2774318.56,393,1615,2741989.259139133,2879783.49
2023-10-31,508,2824402.64,410,1668,2807342.19185435,3003400.99
2023-11-01,476,2776231.72,469,1694,2843573.151390762,2952266.03
2023-11-02,471,2753535.57,370,1565,2870180.7960430714,2950003.73
2023-11-03,433,2523156.74,421,1549,2836217.5070323036,2734327.64
2023-11-04,338,2270977.25,359,1221,2722178.7327742274,2380062.41
2023-11-05,266,1590529.29,306,1028,2453396.3845806704,1647049.34
2023-11-06,386,2314749.16,395,1459,2435598.520935503,2382204.93
2023-11-07,505,3130737.45,466,1717,2648943.050701627,3288976.64
2023-11-08,519,3143897.82,457,1950,2815482.7355262204,3315101.79
2023-11-09,515,3158576.76,521,1919,2982796.329144665,3484737.11
2023-11-10,550,3202901.8,516,2102,3122909.3793584984,3543248.53
2023-11-11,435,2692262.76,420,1677,3081315.5145188738,2956533.92
2023-11-12,374,2145583.32,401,1441,2898646.0908891554,2350637.82
2023-11-13,522,3008263.85,462,1820,2986444.8706668667,3249841.21
2023-11-14,559,3256683.97,488,1896,3121363.0130001497,3526117.44
2023-11-15,507,3023565.21,441,1725,3133802.8747501117,3171122.46
2023-11-16,520,3235610.69,468,1944,3224099.841062584,3494990.74
2023-11-17,537,3275643.36,422,1847,3278941.423296938,3443466.17
2023-11-18,445,2829849.98,380,1543,3179123.039972704,2879667.89
2023-11-19,356,2134410.98,309,1136,2928199.8099795277,2175430.12
2023-11-20,537,3138035.29,445,1696,3022409.2199846455,3305037.45
2023-11-21,539,3425516.17,516,2054,3179835.417488484,3652114.01
2023-11-22,580,3354541.85,496,1873,3290532.6181163634,3622624.22
2023-11-23,549,3056187.91,434,1784,3271245.878587273,3213385.66
2023-11-24,491,2888628.13,381,1596,3206019.301440455,3010339.57
2023-11-25,422,2529052.71,357,1392,3066915.9985803408,2649606.09
2023-11-26,384,2157017.63,345,1253,2855485.9939352553,2221195.98
2023-11-27,545,3378217.55,391,1778,3029995.9804514414,3553525.94
2023-11-28,597,3879641.03,532,2276,3332283.2153385812,4239144.92
2023-11-29,562,3185262.43,500,2028,3397125.6790039362,3591653.07
2023-11-30,573,3463706.01,515,1948,3498080.6867529526,3800945.71
2023-12-01,538,3310792.44,485,1945,3532360.4725647145,3635199.83
2023-12-02,447,2818590.69,392,1668,3385064.591923536,2943176.95
2023-12-03,360,2201202.21,367,1331,3113774.5764426515,2299904.53
2023-12-04,548,3436188.25,496,2084,3250346.959831989,3660064.11
2023-12-05,574,3381491.69,474,2011,3337827.9573739916,3600270.95
2023-12-06,579,3534786.13,504,2116,3472034.7780304938,3874655.24
2023-12-07,540,3059109.27,441,1808,3431766.243522871,3310960.64
2023-12-08,521,3473134.53,431,1866,3497524.5951421536,3694799.65
2023-12-09,443,2731176.31,362,1460,3341889.8613566156,2874985.66
2023-12-10,400,2337283.63,365,1355,3116384.0560174617,2439866.64
2023-12-11,567,2991733.19,442,1878,3134344.239513096,3188224.79
2023-12-12,529,3006127.49,459,1881,3182672.732134822,3327658.21
2023-12-13,551,3191117.24,465,1909,3269758.7041011164,3531016.62
2023-12-14,548,3103575.22,484,1695,3306809.2830758374,3417961.02
2023-12-15,466,2843469.5,439,1547,3227169.842306878,2988251.52
2023-12-16,439,2729921.56,402,1445,3112446.016730158,2768274.54
2023-12-17,344,2139946.78,376,1270,2897409.2125476184,2252298.8
2023-12-18,475,2743948.13,447,1628,2898973.5194107136,2903666.44
2023-12-19,545,3372110.19,482,1891,3058112.227058035,3535528.35
2023-12-20,526,3128280.3,492,1832,3129263.890293526,3342718.88
2023-12-21,546,3193895.86,443,1800,3209812.447720145,3451458.12
2023-12-22,473,2598049.68,438,1505,3107143.3007901083,2799135.86
2023-12-23,394,2536920.32,438,1435,2993975.025592581,2654470.2
2023-12-24,353,1921708.06,331,1142,2743033.2441944354,1990207.9
2023-12-25,517,3010171.57,488,1826,2893697.1181458267,3345688.74
2023-12-26,505,2901707.92,407,1564,2938423.13110937,3072601.17
2023-12-27,523,2980890.94,457,1702,3000216.3083320274,3185595.84
2023-12-28,455,2747411.45,388,1458,2955799.7912490205,2822550.24
2023-12-29,414,2329382.95,368,1317,2811249.805936765,2377599.85
2023-12-30,296,1621318.09,311,981,2524245.429452574,1663232.3
2023-12-31,120,475869.66,150,279,2017626.6520894305,497770.32
