service_date,unique_patients,non_hospital_ammount,unique_service_codes,total_racords,total_amount_net
2023-03-14,538,3033812.39,539,2065,3623420.9
2023-03-15,538,3192365.47,540,2089,3612330.79
2023-03-16,535,3326234.43,522,2227,3712668.84
2023-03-17,533,3001167.1,499,1932,3342938.04
2023-03-18,467,2734255.7,410,1674,2858284.0
2023-03-19,360,2185695.8,376,1396,2342590.45
2023-03-20,551,3486369.87,470,2010,3699232.31
2023-03-21,545,3190139.83,443,1931,3426773.84
2023-03-22,519,2837754.32,428,1766,3034246.63
2023-03-23,518,2964497.3,382,1711,3077305.54
2023-03-24,532,3268333.77,442,1956,3408777.59
2023-03-25,425,2614833.5,363,1417,2724549.42
2023-03-26,324,1832124.5,316,1125,1881199.77
2023-03-27,528,3230061.94,439,1836,3334699.19
2023-03-28,534,3112284.41,424,1807,3280164.29
2023-03-29,531,3330294.81,431,1935,3478238.32
2023-03-30,524,3079873.97,449,1777,3282707.13
2023-03-31,556,3229997.14,438,2017,3454491.45
2023-04-01,415,2416319.61,349,1497,2484995.51
2023-04-02,336,2146232.91,354,1425,2191217.58
2023-04-03,555,3257072.33,412,1883,3343330.18
2023-04-04,551,3134664.71,468,1931,3457686.24
2023-04-05,561,3240028.37,464,2074,3439643.37
2023-04-06,549,3465977.86,484,2077,3760315.45
2023-04-07,544,3053258.62,419,1869,3226892.71
2023-04-08,454,2673957.06,386,1537,2762964.42
2023-04-09,333,1960100.99,355,1200,2043082.32
2023-04-10,507,3011277.41,472,1881,3329000.39
2023-04-11,495,2700341.64,435,1596,2938542.68
2023-04-12,514,2834353.1,451,1844,3128813.9
2023-04-13,541,3133339.9,457,1919,3474737.5
2023-04-14,501,3038742.76,486,2050,3361487.42
2023-04-15,405,2558417.6,397,1471,2693917.55
2023-04-16,291,1577667.64,344,1081,1624990.32
2023-04-17,524,3182077.65,455,1735,3379699.54
2023-04-18,517,2799493.24,471,1710,3098969.91
2023-04-19,519,2925689.38,480,1844,3210590.86
2023-04-20,486,2825738.09,452,1783,3151283.17
2023-04-21,481,2687241.77,460,1777,2972838.39
2023-04-22,373,2168569.39,384,1387,2304393.41
2023-04-23,346,1961365.72,388,1261,2060835.45
2023-04-24,535,3018723.1,408,1761,3186473.8
2023-04-25,530,2988570.52,483,1941,3230884.88
2023-04-26,502,2867368.14,461,1864,3112161.26
2023-04-27,479,2519930.89,431,1536,2730688.12
2023-04-28,459,2401819.44,429,1506,2678920.26
2023-04-29,265,1490447.88,280,969,1542335.26
2023-04-30,219,1170826.09,239,664,1211210.55
2023-05-01,237,1376524.54,263,793,1418446.82
2023-05-02,400,2423327.04,442,1550,2603047.51
2023-05-03,426,2448779.64,464,1697,2682143.28
2023-05-04,442,2530845.98,468,1707,2806705.4
2023-05-05,386,2122388.04,380,1341,2331174.22
2023-05-06,250,1579882.48,299,1001,1630271.73
2023-05-07,193,1060889.13,248,642,1092251.9
2023-05-08,243,1295215.41,306,781,1398145.27
2023-05-09,204,1165766.63,276,823,1224400.0
2023-05-10,420,2307570.36,447,1416,2562779.92
2023-05-11,434,2523793.51,470,1753,2921398.75
2023-05-12,446,2533214.31,434,1709,2761356.63
2023-05-13,336,2045372.39,315,1183,2099585.77
2023-05-14,262,1552324.28,289,970,1625029.57
2023-05-15,428,2523708.77,441,1578,2715352.5
2023-05-16,427,2551783.77,423,1517,2831724.66
2023-05-17,457,2572937.42,444,1650,2942595.09
2023-05-18,462,2505431.73,442,1723,2872150.97
