service_date,unique_patients,hospital_ammount,non_hospital_ammount,hospital_unique_patients,unique_service_codes,high_cost_proportion,service_code_hhi,mean_ammount,total_racords,lag_1,lag_7,lag_14,rolling_mean_7,rolling_mean_14,EMA_7,EMA_14,total_amount_net
2022-02-19,345,59711.35,1949502.91,4,303,0.2662173546756529,0.009281254591123,1692.682611625948,1187,2339290.654472571,2351532.368241903,2269661.8819342265,2316018.007142857,2322477.197142857,2299470.9579166356,2310164.4162850645,2009214.26
2022-02-20,274,36888.47,1566508.45,3,294,0.2157464212678936,0.0090309926773474,1639.465153374233,978,2119239.72482419,2132022.1052650926,2161672.538926913,2303217.3414285714,2317309.7035714285,2125452.374524608,2215864.928748746,1603396.92
2022-02-21,377,154862.19,1985757.72,8,389,0.2236542835481425,0.0078016463180862,1622.9112282031842,1319,1775344.5216080633,2255256.2602626267,2227984.604358113,2251630.9614285715,2289755.541428571,2129244.259601383,2205826.3714147876,2140619.91
2022-02-22,390,169145.25,2055680.65,8,387,0.2275960170697012,0.008769569149894,1582.3797297297297,1406,2018861.4472026879,2352288.356886841,2266234.968783972,2205698.5828571427,2274503.352142857,2153139.675410057,2208360.9303302467,2224825.9
2022-02-23,283,93724.55,1532904.71,6,295,0.2070240295748613,0.010193692108473,1503.354214417745,1082,2156171.082400896,2474344.9312957064,2328324.288726103,2049723.0371428572,2204425.477142857,2021512.0479714891,2130762.520236444,1626629.26
2022-02-24,368,104209.42,1952114.96,7,332,0.2596491228070175,0.0084333641120344,1803.7933157894736,1140,1803143.2008002987,2486259.9241995984,2347757.021763105,1984899.39,2177362.747142857,2030215.1321482311,2120833.6437716214,2056324.38
2022-02-25,352,112099.19,1961573.7,6,379,0.2702928870292887,0.0080789902137567,1735.291121338912,1195,1971930.6536000995,2401934.9827881223,2350206.1573343454,1962097.6457142856,2156823.161428571,2041079.5727062337,2114543.461749472,2073672.89
2022-02-26,336,40997.42,1968567.66,4,330,0.2112986060161408,0.0095636217419926,1474.3690975788702,1363,2039758.8112000332,2271028.0751800654,2333428.302482717,1962147.7628571428,2139082.8850000002,2033200.9489340922,2100542.328748835,2009565.08
2022-02-27,298,25369.01,1770992.44,3,335,0.2188581314878892,0.0089618179858957,1553.9458910034602,1156,2019629.6570666777,2048484.356773092,2216986.053615182,1989714.1242857142,2146465.732857143,1973991.0708435993,2059974.7950110738,1796361.45
2022-02-28,376,79268.83,2090842.94,9,351,0.2490272373540856,0.0084416115308331,1688.80293385214,1285,1870784.1856888924,2079196.207849981,2268757.066402571,1993927.2471428572,2122779.104285714,2023021.2477175647,2074662.8890275974,2170111.77
2022-03-01,349,160179.69,2038142.3,7,376,0.2644497228820269,0.0082718508195683,1740.5558115597785,1263,2070335.908562964,2127739.438567974,2319229.2703914554,1990140.9742857143,2097919.7785714283,2066846.4346858272,2091153.84788654,2198321.99
2022-03-02,397,118173.1,2310399.24,6,370,0.272791519434629,0.0083801770530285,1716.3055406360422,1415,2155659.9628543216,1960702.7123756208,2391816.677194039,2104704.271428571,2077213.654285714,2157277.913177371,2136150.260574011,2428572.34
2022-03-03,380,353213.69,2237168.57,14,441,0.2557704304429195,0.0070855137882845,1615.9589893948844,1603,2337601.5476181074,1992576.6015841328,2413320.986300596,2180998.2542857146,2082948.822142857,2265554.0018253936,2196723.0210642247,2590382.26
2022-03-04,409,253351.33,2314260.51,13,378,0.2552188552188552,0.0076160029021981,1729.031542087542,1485,2506122.0225393693,2019608.697722973,2380587.082978958,2251560.9614285715,2106829.3035714286,2341068.462385036,2246180.87417942,2567611.84
2022-03-05,326,229301.64,1948328.39,15,393,0.2665615141955836,0.006820398252545,1717.373840694006,1268,2547115.2341797897,2016260.8251486307,2313064.572946382,2275570.2399999998,2118859.0014285715,2300208.8538764752,2237039.7988328603,2177630.03
2022-03-06,269,60723.3,1581177.63,6,271,0.2463768115942029,0.009531096622644,1699.690403726708,966,2300791.7647265964,1942961.0334321582,2184033.811381935,2253504.4514285713,2121609.2878571427,2135631.871661835,2157680.705583144,1641900.93
2022-03-07,282,51198.4,1662168.07,3,284,0.2122270742358078,0.0101439713201502,1496.3899301310043,1145,1861531.2082421987,2018677.9456216195,2176140.360791926,2188255.1228571427,2091091.185,2030065.52064718,2098434.1204349757,1713366.47
2022-03-08,216,116541.59,1184754.0,5,251,0.2319526627218935,0.0110262245719687,1539.9947810650888,845,1762754.7160807329,2078559.2937478418,2184992.289834177,2060108.494285714,2025124.734285714,1847873.0372097897,1992141.6953087891,1301295.59
2022-03-09,398,210378.82,2318552.32,10,417,0.2624403544648943,0.0072548114878148,1723.879441036128,1467,1455115.2986935778,2195230.3091653516,2083471.6186339313,2074445.4657142858,2089574.8685714286,2018137.5634509556,2063717.8744191108,2528931.14
2022-03-10,406,169362.98,2313853.45,12,399,0.2542603953646898,0.0073728363464522,1692.717402862986,1467,2170992.5262311925,2326947.6261103274,2078535.7522778104,2059136.0614285714,2120067.157857143,2134407.280366632,2119653.8957834626,2483216.43
2022-03-11,399,187334.44,2318017.55,10,415,0.2268431001890359,0.0077500358338405,1578.6717013232517,1587,2379141.795410398,2407169.030740256,2077651.5947985435,2050241.7971428572,2150901.3792857146,2227143.4579415214,2171082.603712707,2505351.99
2022-03-12,383,78176.75,2197133.36,8,355,0.2373371924746743,0.0088097746297758,1646.3893704775687,1382,2463281.9251367995,2330656.0304934797,2065272.2204356042,2064196.0942857142,2169883.1671428573,2239185.1209723605,2184980.1421228442,2275310.11
2022-03-13,295,139104.71,1726807.59,7,302,0.2502360717658168,0.0084789666521323,1761.9568460812088,1059,2337967.3817122667,2101070.9969956046,2016379.3271159998,2096197.7185714287,2174851.085,2145866.9156349995,2142436.3369514146,1865912.3
